"gross" "show" "week_ending" "id.show" "id.year" "id.week"
0.412078 "Les Miserables" 2000-05-14 4 1 50
0.339707 "Rent" 2000-05-14 6 1 50
0.963134 "The Lion King" 2000-05-14 8 1 50
0.629997 "The Phantom of the Opera" 2000-05-14 9 1 50
0.572556 "Beauty and the Beast" 2000-05-21 1 1 51
0.521017 "Chicago" 2000-05-21 2 1 51
0.458208 "Les Miserables" 2000-05-21 4 1 51
0.407595 "Rent" 2000-05-21 6 1 51
0.964387 "The Lion King" 2000-05-21 8 1 51
0.672175 "The Phantom of the Opera" 2000-05-21 9 1 51
0.593707 "Beauty and the Beast" 2000-05-28 1 1 52
0.530338 "Chicago" 2000-05-28 2 1 52
0.494901 "Les Miserables" 2000-05-28 4 1 52
0.416385 "Rent" 2000-05-28 6 1 52
0.962857 "The Lion King" 2000-05-28 8 1 52
0.707038 "The Phantom of the Opera" 2000-05-28 9 1 52
0.531987 "Beauty and the Beast" 2000-06-04 1 1 1
0.444443 "Chicago" 2000-06-04 2 1 1
0.433509 "Les Miserables" 2000-06-04 4 1 1
0.305835 "Rent" 2000-06-04 6 1 1
0.96431 "The Lion King" 2000-06-04 8 1 1
0.658153 "The Phantom of the Opera" 2000-06-04 9 1 1
0.584832 "Beauty and the Beast" 2000-06-11 1 1 2
0.470967 "Chicago" 2000-06-11 2 1 2
0.409962 "Les Miserables" 2000-06-11 4 1 2
0.354428 "Rent" 2000-06-11 6 1 2
0.956694 "The Lion King" 2000-06-11 8 1 2
0.698928 "The Phantom of the Opera" 2000-06-11 9 1 2
0.580531 "Beauty and the Beast" 2000-06-18 1 1 3
0.48266 "Chicago" 2000-06-18 2 1 3
0.434206 "Les Miserables" 2000-06-18 4 1 3
0.35928 "Rent" 2000-06-18 6 1 3
0.964503 "The Lion King" 2000-06-18 8 1 3
0.693136 "The Phantom of the Opera" 2000-06-18 9 1 3
0.53181 "Beauty and the Beast" 2000-06-25 1 1 4
0.509874 "Chicago" 2000-06-25 2 1 4
0.46691 "Les Miserables" 2000-06-25 4 1 4
0.397908 "Rent" 2000-06-25 6 1 4
0.961264 "The Lion King" 2000-06-25 8 1 4
0.663014 "The Phantom of the Opera" 2000-06-25 9 1 4
0.571856 "Beauty and the Beast" 2000-07-02 1 1 5
0.508103 "Chicago" 2000-07-02 2 1 5
0.420702 "Les Miserables" 2000-07-02 4 1 5
0.379915 "Rent" 2000-07-02 6 1 5
0.968402 "The Lion King" 2000-07-02 8 1 5
0.598681 "The Phantom of the Opera" 2000-07-02 9 1 5
0.615941 "Beauty and the Beast" 2000-07-09 1 1 6
0.447645 "Chicago" 2000-07-09 2 1 6
0.422338 "Les Miserables" 2000-07-09 4 1 6
0.357707 "Rent" 2000-07-09 6 1 6
0.969515 "The Lion King" 2000-07-09 8 1 6
0.604574 "The Phantom of the Opera" 2000-07-09 9 1 6
0.631028 "Beauty and the Beast" 2000-07-16 1 1 7
0.463591 "Chicago" 2000-07-16 2 1 7
0.446544 "Les Miserables" 2000-07-16 4 1 7
0.383361 "Rent" 2000-07-16 6 1 7
0.966584 "The Lion King" 2000-07-16 8 1 7
